id,text,label
1,"출근 시간마다 ○○역 사거리 신호 주기가 맞지 않아 차량 정체가 심각합니다.","도로-교통"
2,"주택가 골목에 불법 주차가 늘어서 있어 소방차나 구급차 진입이 어려워 보입니다.","도로-교통"
3,"어린이집 앞 횡단보도에 신호등이 없어 아이들이 무단횡단을 할 수밖에 없는 상황입니다.","도로-교통"
4,"버스 정류장이 좁은 골목 입구에 있어 버스가 정차할 때마다 다른 차량 통행이 막힙니다.","도로-교통"
5,"왕복 2차선 도로에서 차량들이 중앙선을 침범해 추월 운전을 자주 하고 있어 위험합니다.","도로-교통"
6,"지하차도 입구에 차선이 급하게 줄어들지만 안내 표지가 부족해 급차선 변경이 자주 발생합니다.","도로-교통"
7,"학교 앞 스쿨존 구간에서 과속 차량이 빈번한데도 단속이 전혀 이루어지지 않는 것 같습니다.","도로-교통"
8,"버스 배차 간격이 안내된 시간보다 훨씬 길어 출퇴근 시간에 이용이 매우 불편합니다.","도로-교통"
9,"교차로에 좌회전 전용 신호가 없어 직진 차량과 섞여 운행하면서 혼선과 위험이 발생합니다.","도로-교통"
10,"지하철 역 앞 택시들이 도로에 두 줄로 정차해 승객을 태우면서 심각한 정체가 생깁니다.","도로-교통"
11,"왕복 4차선 도로에 횡단보도가 너무 멀리 떨어져 있어 보행자들이 무단횡단을 자주 합니다.","도로-교통"
12,"공장 앞 도로에 대형 화물차들이 장시간 이중 주차를 해 시야가 가려지고 통행이 어렵습니다.","도로-교통"
13,"터미널 인근 회전 교차로에서 깜빡이 없이 진입하는 차량이 많아 사고가 날 것 같아 불안합니다.","도로-교통"
14,"좁은 골목인데 일방통행 표지가 없어 차량끼리 마주 보고 서서 한참을 후진해야 하는 일이 잦습니다.","도로-교통"
15,"버스 전용 차로를 일반 차량이 상습적으로 이용해 버스가 제 속도로 주행하지 못하고 있습니다.","도로-교통"
16,"공사 구간 앞 임시 신호체계 안내가 부족해 운전자들이 헷갈려 급정거와 경적이 계속 발생합니다.","도로-교통"
17,"아파트 단지 앞 도로에 불법 유턴을 하는 차량이 많아 보행자와 다른 차량에 큰 위협이 되고 있습니다.","도로-교통"
18,"횡단보도 앞 정지선을 지키지 않고 차량이 코앞까지 다가와 보행자가 매우 불안합니다.","도로-교통"
19,"대형 쇼핑몰 출차로에 신호등이 없어 주 도로로 진입할 때마다 긴 시간 대기가 발생합니다.","도로-교통"
20,"보행자 신호 시간이 너무 짧아 어르신들이 횡단보도를 다 건너기 전에 빨간불로 바뀝니다.","도로-교통"
21,"고가도로 진입램프에서 차선이 모이는 지점에 속도 제한 안내가 부족해 급정거 사고 위험이 큽니다.","도로-교통"
22,"역 앞 로터리에서 차로 구분 표시가 희미해 차량들이 뒤엉켜 진입 순서를 두고 혼란이 발생합니다.","도로-교통"
23,"버스가 정류소 대신 교차로 직전에 정차해 뒤따르던 차량들이 급정거를 자주 하게 됩니다.","도로-교통"
24,"주차장이 부족해 상가 앞 도로 갓길에 상습적으로 불법 주차가 이루어져 시야 확보가 어렵습니다.","도로-교통"
25,"새로 개통된 도로의 제한 속도와 우회 안내가 부족해 운전자들이 혼란을 겪고 있습니다.","도로-교통"
26,"출퇴근 시간에 ○○역 앞 정류소에 여러 노선 버스가 한꺼번에 도착해 정차와 출발이 뒤엉켜 혼잡합니다.","도로-교통"
